Recording	Participant	Gender	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Average_pupil_diameter
Recording17	Participant15	Female	White on Black	java1 (1)	1	java1	FunctionHeader	1815	227	8	430	392	3.6796
Recording17	Participant15	Female	White on Black	java1 (1)	1	java1	Loop	57702	200	289	0	223	4.04721
Recording17	Participant15	Female	White on Black	java1 (1)	1	java1	ReturnValue	1287	257	5	63346	117	4.22949
Recording17	Participant15	Female	White on Black	java1 (1)	1	java1	VarDeclaration	6620	228	29	2706	183	3.88713
Recording17	Participant15	Female	White on Black	java1 (1)	1	java1	VarUpdate	11847	194	61	46709	197	4.12793
Recording17	Participant15	Female	White on Black	java2 (1)	1	java2	BugIsHere	8578	199	43	13953	92	4.09147
Recording17	Participant15	Female	White on Black	java2 (1)	1	java2	ForLoop	40058	233	172	232	130	4.02099
Recording17	Participant15	Female	White on Black	java2 (1)	1	java2	FunctionHeader	3907	230	17	539	345	3.88498
Recording17	Participant15	Female	White on Black	java2 (1)	1	java2	VarDeclaration	4993	200	25	397	113	3.91829
Recording17	Participant15	Female	White on Black	py1sem (1)	1	py1sem	BuggyCall	10774	215	50	39207	248	3.89759
Recording17	Participant15	Female	White on Black	py1sem (1)	1	py1sem	BugIsHere	21700	195	111	40906	133	3.90029
Recording17	Participant15	Female	White on Black	py1sem (1)	1	py1sem	CastingCall	13990	209	67	318	117	3.8128
Recording17	Participant15	Female	White on Black	py1sem (1)	1	py1sem	CastingFunction	9974	212	47	40002	238	3.8939
Recording17	Participant15	Female	White on Black	py1sem (1)	1	py1sem	MainHeader	1202	240	5	680	155	3.58232
Recording17	Participant15	Female	White on Black	py1sem (1)	1	py1sem	PrintStatement	10737	211	51	170	105	3.87663
Recording17	Participant15	Female	White on Black	py1sem (1)	1	py1sem	VarDeclaration	19179	220	87	467	198	3.74689
Recording17	Participant15	Female	White on Black	py1syn (1)	1	py1syn	BugIsHere	728	243	3	28376	227	3.86551
Recording17	Participant15	Female	White on Black	py1syn (1)	1	py1syn	FirstIfStatement	6620	214	31	13824	295	3.85634
Recording17	Participant15	Female	White on Black	py1syn (1)	1	py1syn	FunctionCall	9370	223	42	0	165	3.80659
Recording17	Participant15	Female	White on Black	py1syn (1)	1	py1syn	FunctionHeader	6307	185	34	11934	280	3.87801
Recording17	Participant15	Female	White on Black	py1syn (1)	1	py1syn	MainHeader	572	191	3	362	233	3.63726
Recording17	Participant15	Female	White on Black	py1syn (1)	1	py1syn	PrintStatement	20659	215	96	7749	183	3.7665
Recording17	Participant15	Female	White on Black	py1syn (1)	1	py1syn	Return	10614	200	53	35024	202	3.93317
Recording17	Participant15	Female	White on Black	py1syn (1)	1	py1syn	SecondIfStatement	6708	210	32	21417	178	3.88715
Recording17	Participant15	Female	White on Black	py1syn (1)	1	py1syn	ThirdIfStatement	5957	229	26	27901	218	3.85932
Recording17	Participant15	Female	White on Black	py1syn (1)	1	py1syn	VarDeclaration	3987	199	20	195	145	3.7608
Recording17	Participant15	Female	White on Black	py2sem (1)	1	py2sem	BugIsHere	23469	211	111	63	127	4.08933
