Participant,Gender,Age,English Grade,Base Language,Base Grade,Java Freq,Python Freq,J1 Score,J2 Score,P1 Score,P2 Score,P3 Score,P4 Score,P5 Score,P6 Score
Participant1,F,21-23,2.8,Python,2.46,3,4,1.5,0,0,0.5,0.5,0.5,0.5,0.5
Participant2,F,21-23,3.8,Python,3.26,1,4,0.5,2,2,0.5,1,0.5,1.5,1
Participant3,F,18-20,3,Java,3.6,4,1,2,2,0.5,0,1,0,1,2
Participant4,F,21-23,2.8,Java,2.2,3,1,1,2,0,0,1.5,0,1.5,1
Participant5,M,21-23,3.6,Java,3.46,4,1,2,0.5,2,2,2,2,2,1.5
Participant6,F,18-20,3.8,Java,3,4,1,2,2,0,0.5,2,0.5,2,2
Participant7,F,21-23,2.8,Python,3.46,1,4,2,2,0,0,0,0,0.5,1
Participant8,F,21-23,2,Python,2.2,1,4,0,0,0.5,2,0.5,1,0.5,0
Participant9,F,24-26,2.8,Python,2.46,1,2,2,0.5,2,1.5,1,0,1.5,1
Participant10,F,21-23,2.8,Python,3,1,3,1,1.5,0.5,0.5,0.5,1,2,1
Participant11,F,21-23,3,Python,4,1,3,1.5,0,0.5,0,1,1.5,1,1
Participant12,F,18-20,2.8,Java,2.6,3,1,0.5,2,2,0,1,0.5,2,1.5
Participant13,F,18-20,3.2,Java,3.2,4,1,2,2,2,2,1,2,1.5,2
Participant14,F,24-26,2,Java,3.2,3,1,1.5,2,2,0,0,0,1,0.5
Participant15,F,26+,2.2,Python,3.2,3,4,1.5,1,0,0.5,0.5,0,2,1.5
Participant16,F,18-20,4,Java,4,4,1,2,1.5,2,0.5,0,2,2,1
Participant17,F,21-23,2.8,Python,3.2,1,3,1,0,0,1,1,1.5,2,0.5
Participant18,F,21-23,1.2,Python,2.74,1,3,0.5,1.5,2,0.5,2,1,2,1.5
Participant19,F,18-20,3,Java,3.2,3,4,2,0.5,2,2,0,1,2,0.5
Participant20,F,24-26,3.8,Python,2.6,1,3,0.5,0,2,0,2,0,1.5,2
Participant21,M,24-26,3.8,Java,3.4,4,1,1,2,0,0,0,0,1,1.5
Participant22,M,21-23,3,Python,3.54,1,4,2,1,2,0,2,1.5,2,0.5
Participant23,F,21-23,2,Java,3.26,3,1,2,2,0,0,0,0,2,0.5
Participant24,F,26+,2,Java,2.74,4,1,2,2,0,0.5,0,2,1,2
Participant25,F,21-23,3.8,Python,3.74,1,4,1,0,2,2,1,1.5,1.5,1
Participant26,F,21-23,2,Python,3.74,2,4,1,1,2,2,1,2,1.5,1.5
Participant27,M,21-23,4,Java,3.46,3,1,2,2,2,0.5,2,0,1,0.5
Participant28,M,21-23,2.8,Java,4,3,1,2,2,2,0,2,1.5,2,1
Participant29,M,21-23,3.8,Java,3.74,3,1,2,2,2,0,1.5,0,2,2
Participant30,M,18-20,3.8,Java,4,2,4,2,2,0.5,2,2,2,2,2
Participant31,M,18-20,3.8,Java,4,4,4,1.5,1.5,2,2,2,1.5,2,1.5
Participant32,M,18-20,4,Java,3.8,2,2,2,2,2,2,2,0.5,1.5,1.5
Participant33,M,18-20,3.8,Java,3.2,3,2,2,2,0,0.5,2,1.5,1.5,2
Participant36,M,18-20,3.8,Java,2.2,2,1,1,0.5,1.5,0.5,1.5,0.5,1.5,0.5
